<DATE>	<CLOSE>	<VOL>
20151022	1712,1	27704269672
20151023	1725,45	37253440247
20151026	1712,13	38058579778
20151027	1725,89	38391287349
20151028	1726,61	34408752591
20151029	1708,6	27290371003
20151030	1711,53	26566212454
20151102	1735,75	27528642884
20151103	1763,6	38616091650
20151105	1766,28	39011014458
20151106	1754,36	32548113463
20151109	1751,44	24346689110
20151110	1746,94	24785834899
20151111	1740,56	27352629549
20151112	1739,96	27894462264
20151113	1728,17	30416876242
20151116	1739,8	30250393068
20151117	1787,23	51356679699
20151118	1810,48	44452288316
20151119	1811,2	54358055063
20151120	1826,72	34544521129
20151123	1868,07	47433558589
20151124	1810,05	54471301838
20151125	1833,53	36048441250
20151126	1828,3	25940097017
20151127	1795,7	30879408712
20151130	1771,05	37182033644
20151201	1772,97	30147725961
20151202	1770,13	28668714824
20151203	1787,23	31739618819
20151204	1755,22	38557264636
20151207	1741,14	31536716363
20151208	1718,77	40266957457
20151209	1733,78	31168276020
20151210	1732,89	30034822699
20151211	1720,31	27222724797
20151214	1708,7	36354674094
20151215	1742,46	35264056024
20151216	1754,71	27528361110
20151217	1780,97	41887265524
20151218	1719,16	41853667361
20151221	1716,91	27784033639
20151222	1723,35	20336931490
20151223	1747,85	27157609995
20151224	1742,71	23442337367
20151225	1734,21	10322254757
20151228	1731,2	12979267170
20151229	1763,38	22416969693
20151230	1761,36	24135459615
20160104	1734,56	15184059638
20160105	1754,13	18096848155
20160106	1748,57	15863769598
20160111	1682,54	31299887238
20160112	1690,3	32959612040
20160113	1684,78	27040723765
20160114	1680,77	31609765726
20160115	1608,36	50283185458
20160118	1622,43	32366912468
20160119	1645,56	37157904981
20160120	1630,39	39821132337
20160121	1677,19	43326301552
20160122	1717,98	60488647098
20160125	1716,56	34894234976
20160126	1705,01	34002423384
20160127	1747,57	37416392162
20160128	1771,93	49890474263
20160129	1784,92	51457275614
20160201	1773,21	31043356045
20160202	1758,26	38671518377
20160203	1746,35	31399278725
20160204	1787,93	44900362749
20160205	1780,59	28320335549
20160208	1744,27	33814129704
20160209	1723,36	37373681578
20160210	1730,83	32150971589
20160211	1711,58	39462082110
20160212	1726,04	29057999447
20160215	1738,54	24247759999
20160216	1753,86	34532761465
20160217	1770,31	34413040963
20160218	1807,21	41792675530
20160219	1793,37	39618767600
20160220	1790,15	5664688455
20160222	1822,38	20518229824
20160223	1822,38	2147483647
20160224	1797,27	31529049244
20160225	1797,27	36117737702
20160226	1816,73	42036927929
20160229	1840,17	37246813480
20160301	1844,17	33324018991
20160302	1832,84	0
20160303	1858,69	0
20160304	1878,29	0
20160307	1909,57	0
20160309	1883	0
20160310	1884,63	0
20160311	1876,54	0
20160314	1865,31	0
20160315	1855,06	0
20160316	1871,2	0
20160317	1890,79	0
20160318	1914,02	0
20160321	1904,5	0
20160322	1903,47	0
20160323	1879,89	0
20160324	1866,67	0
20160325	1866,23	0
20160328	1849,31	0
20160329	1845,2	0
20160330	1868,1	0
20160331	1871,15	0
20160401	1856,77	0
20160404	1866,64	0
20160405	1857,09	0
20160406	1860,17	0
20160407	1858,85	0
20160408	1877,27	0
20160411	1906,9	0
20160412	1899,26	0
20160413	1932,8	0
20160414	1915,85	0
20160415	1907,78	0
20160418	1892,64	0
20160419	1930,14	0
20160420	1960,18	0
20160421	1950,08	0
20160422	1967,26	0
20160425	1955,47	0
20160426	1946,55	0
20160427	1934,77	0
20160428	1969,89	0
20160429	1953,05	0
20160504	1925,58	0
20160505	1906,48	0
20160506	1901,56	0
20160510	1885,34	0
20160511	1909,05	0
20160512	1901,9	0
20160513	1907,19	0
20160516	1915,33	0
20160517	1909	0
20160518	1917,24	0
20160519	1891,52	0
20160520	1891,33	0
20160523	1868,43	0
20160524	1884,12	0
20160525	1898,75	0
20160526	1914,31	0
20160527	1927,58	0
20160530	1935,54	0
20160531	1899,01	0
20160601	1893,18	0
20160602	1890,78	0
20160603	1886,84	0
20160606	1915,54	0
20160607	1951,26	0
20160608	1951,55	0
20160609	1934,92	29665492694
20160610	1903,61	28777726521
20160614	1885,92	40744702428
20160615	1889,75	37845672069
20160616	1869,78	32471422864
20160617	1877,07	35298457106
20160620	1902,7	23905965961
20160621	1904,02	25623356487
20160622	1896,7	21610632336
20160623	1919,27	25896840624
20160624	1884,41	42616365043
20160627	1841,73	35117877018
20160628	1857,23	29870702867
20160629	1888,15	25498709169
20160630	1891,09	28888012084
20160701	1896,62	19669174916
20160704	1907,48	19533656505
20160705	1895,64	21567078577
20160706	1879,42	26739811593
20160707	1882,41	31628682372
20160708	1894,35	35441247831
20160711	1913,12	28424172954
